Pattern,ClusterNumber1,,Count,Cluster_number.Record.,paste..Cluster....Cluster_number.Record..
[ActIngreName]オリゼーより産生する消化酵素（[ActIngreName]）であり本品[Number][Unit]中にでんぷん糖化力[Number][Unit]を含む,32,88,1,6,Cluster  6
[BrandName][Number][Unit]中に[ActIngreName][Number][Unit]を含有する<<BR>>本品は[ActIngreName]（[Formula]：[Number]）[Number][Unit]及び[ActIngreName]（[Formula]：[Number]）[Number][Unit]を含む,27,87,1,6,Cluster  6
[Number][Unit]中[ActIngreName][Number][Unit]含有本品は定量する時[ActIngreName]（[Formula]）[Number][Unit]含有,27,87,1,6,Cluster  6
[Number][Unit]中[BrandName][Number][Unit]含有［本品は定量するとき換算した[ActIngreName]に対し[ActIngreName]（[Formula]）[Number][Unit]を含有］,67,84,1,6,Cluster  6
[Number]．組成<BR>本剤はイオン交換及び超ろ過を組み合わせて精製した水である,73,86,1,6,Cluster  6
[Number]．組成<BR>本品は[ActIngreName]の[Form]である,6,91,1,6,Cluster  6
[Number]．組成<BR>本品は[ActIngreName]（[ActIngreName]）の原薬である,6,91,1,6,Cluster  6
[Number]．組成<BR>本品は[BrandName]の原薬である,6,91,3,6,Cluster  6
[Number]．組成<BR>本品は[Number][Unit]で[ActIngreName]（[Formula]）[Number][Unit]を含む,80,90,1,6,Cluster  6
成分含量（[Number][Unit]中）<BR>[Number][Unit]（本品[Number][Unit]）中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,32,88,2,6,Cluster  6
本剤は[BrandName]である<<BR>>乾燥したものは定量するとき[BrandName]（[Formula]）[Number][Unit]以上を含む,36,83,1,6,Cluster  6
本剤は[Number][Unit]中にイオン交換超ろ過後蒸留により精製した水を滅菌したものを[Number][Unit]又は[Number][Unit]含有する,73,86,1,6,Cluster  6
本剤はイオン交換及び超ろ過を組み合わせて精製した水である,73,86,2,6,Cluster  6
本剤は塩基性硝酸[ActIngreName]で乾燥したものを定量するとき[ActIngreName]（[Formula]）[Number][Unit]を含む,36,83,1,6,Cluster  6
本剤は定量するとき[ActIngreName]（[Formula]）[Number][Unit]以上を含む,36,83,1,6,Cluster  6
本剤は強熱したものを定量するとき[ActIngreName]（[Formula]）[Number][Unit]以上を含む,36,83,1,6,Cluster  6
本剤は次没食子酸と[ActIngreName]との比が[Number]：[Number]からなるものでその乾燥したものを定量するとき[ActIngreName]（[Formula]）[Number][Unit]を含む,36,83,1,6,Cluster  6
本剤を乾燥したものは[ActIngreName]（[Formula]）[Number][Unit]以上を含む,36,83,4,6,Cluster  6
本剤を乾燥したものは[ActIngreName]［[ActIngreName]（[Formula]）］[Number][Unit]以上を含む,36,83,1,6,Cluster  6
本剤を乾燥したものは定量するとき[ActIngreName]（[Formula]）[Number][Unit]以上を含む,36,83,5,6,Cluster  6
本剤を乾燥したものは定量するとき[ActIngreName]（[Formula]）を[Number][Unit]及び[ActIngreName]（[Formula]）を[Number][Unit]を含む,36,83,1,6,Cluster  6
本品[Number][Unit]中<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],32,88,1,6,Cluster  6
本品[Number][Unit]中<BR>[ActIngreName][Number][Unit]含有,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit],32,88,7,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit],32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName],32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],32,88,2,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]適量を含む,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含有する,32,88,2,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]から得られる抽出物,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]の[Number][Unit][ActIngreName]を含む,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含む,32,88,2,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の割合で得た[Form][Number][Unit]と[ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含有する,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含む,32,88,5,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含有する,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName]適量を含む,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit]の[Number][Unit][ActIngreName]を含む,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit]の[Number][Unit][ActIngreName]を含有する,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit]を含む,32,88,18,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit]を含む[Form]である,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit]を含む本品は,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit]を含有する,32,88,11,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit]を含有する[Form]である,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit]含有,32,88,30,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit]含有する,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit]含有（[ActIngreName]（[Formula]：[Number]）[Number][Unit]を含む）,27,87,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,32,88,5,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含む,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit]（[Number][Unit]）,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number][Unit]（[Number][Unit]）<<BR>>（総[ActIngreName]として[Number][Unit]を含む）,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName][Number]）[Number][Unit]を含有する,27,87,10,6,Cluster  6
本品[Number][Unit]中[ActIngreName]（[ActIngreName]）[Number][Unit]含有,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName]（[Formula]）[Number][Unit],32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName]（[Formula]）[Number][Unit][ActIngreName]適量を含む,32,88,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName]（[Formula]）[Number][Unit]を含む,32,88,2,6,Cluster  6
本品[Number][Unit]中[ActIngreName]（[Formula]）[Number][Unit]日本政府所定[ActIngreName]（[Formula]）[Number][Unit]法定色素（[Color][Number]号）[ActIngreName]適量を含む,27,87,1,6,Cluster  6
本品[Number][Unit]中[ActIngreName]（[Formula]：[Number]）[Number][Unit],27,87,1,6,Cluster  6
本品[Number][Unit]中[BrandName][Number][Unit]含有<<BR>>本品を乾燥したものは定量するとき[ActIngreName]（[Formula]：[Number]）[Number][Unit]以上を含む,87,85,1,6,Cluster  6
本品[Number][Unit]中[BrandName][Number][Unit]含有<<BR>>［[ActIngreName]（[Formula]：[Number]）として[Number][Unit]以上を含有］,27,87,1,6,Cluster  6
本品[Number][Unit]中に[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],32,88,1,6,Cluster  6
本品[Number][Unit]中に[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]適量を含む,32,88,3,6,Cluster  6
本品[Number][Unit]中に[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]の可溶成分を含む[Form]である,32,88,1,6,Cluster  6
本品[Number][Unit]中に[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]含有,32,88,1,6,Cluster  6
本品[Number][Unit]中に[ActIngreName][Number][Unit][ActIngreName]適量を含む,32,88,1,6,Cluster  6
本品[Number][Unit]中に[ActIngreName][Number][Unit]を含む,32,88,6,6,Cluster  6
本品[Number][Unit]中に[ActIngreName][Number][Unit]を含む本品は[ActIngreName][ActIngreName][Number]及び[ActIngreName][Number]の質量の割合からなる,32,88,1,6,Cluster  6
本品[Number][Unit]中に[ActIngreName][Number][Unit]を含有する,32,88,5,6,Cluster  6
本品[Number][Unit]中に[ActIngreName][Number][Unit]を含有する[Form]である,32,88,1,6,Cluster  6
本品[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）,32,88,2,6,Cluster  6
本品[Number][Unit]中に[ActIngreName][Number][Unit]（[Number][Unit]）を含む,32,88,1,6,Cluster  6
本品[Number][Unit]中に[ActIngreName][Number]）[Number][Unit]を含有する,27,87,12,6,Cluster  6
本品[Number][Unit]中に[ActIngreName]を[Number][Unit]を含有する,32,88,1,6,Cluster  6
本品[Number][Unit]中下記成分分量を含む<<BR>><BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit],32,88,1,6,Cluster  6
本品[Number][Unit]中有効成分として[ActIngreName][Number][Unit],32,88,1,6,Cluster  6
本品[Number][Unit]中有効成分として[ActIngreName][Number][Unit][ActIngreName][Number][Unit],32,88,1,6,Cluster  6
本品[Number][Unit]中次の成分を含む[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],32,88,1,6,Cluster  6
本品[Number][Unit]中次の成分を含む[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],32,88,1,6,Cluster  6
本品[Number][Unit]中次の成分を含む[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],32,88,1,6,Cluster  6
本品は[ActIngreName][ActIngreName][ActIngreName][ActIngreName][Number][ActIngreName][ActIngreName][ActIngreName]を含む,6,91,1,6,Cluster  6
本品は[ActIngreName][ActIngreName][Number]及び[ActIngreName][Number]の質量の割合からなる,6,91,1,6,Cluster  6
本品は[ActIngreName][ActIngreName]又はその混合物である本品を乾燥したものを定量するとき[ActIngreName]［[ActIngreName]（[Formula]）］[Number][Unit]以上を含む,87,85,1,6,Cluster  6
本品は[ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含有する,39,89,1,6,Cluster  6
本品は[ActIngreName][Number][Unit][ActIngreName][Number][Unit]及び非イオン性界面活性剤,39,89,1,6,Cluster  6
本品は[ActIngreName][Number][Unit]を含む,39,89,4,6,Cluster  6
本品は[ActIngreName][Number][Unit]及び非イオン性界面活性剤,39,89,1,6,Cluster  6
本品は[ActIngreName][Number][Unit]含有する,39,89,1,6,Cluster  6
本品は[ActIngreName][Number][Unit]政府所定[ActIngreName][Number][Unit]を含む,39,89,1,6,Cluster  6
本品は[ActIngreName]で[ActIngreName]（[Formula]）[Number][Unit]以上を含む,80,90,1,6,Cluster  6
本品は[ActIngreName]である<<BR>>本品は乳から得られる天然の二糖類で[Number][Unit]の＄と[Number][Unit]の＄から成る,39,89,3,6,Cluster  6
本品は[ActIngreName]である<<BR>>本品は定量するとき[ActIngreName]（[Formula]：[Number]）[Number][Unit]を含む<<BR>>沈降試験を行うとき[Number][Unit]の目盛以下のものは別名として重質[ActIngreName]と表示することができる,67,84,1,6,Cluster  6
本品は[ActIngreName]と水との付加重合体でＨＯＣＨ[Number]（ＣＨ[Number]ＯＣＨ[Number]）ｎＣＨ[Number]ＯＨで表されｎが[Number]及び[Number]の等量混合物である,6,91,1,6,Cluster  6
本品は[ActIngreName]と水との付加重合体でＨＯＣＨ[Number]（ＣＨ[Number]ＯＣＨ[Number]）ｎＣＨ[Number]ＯＨで表されｎは[Number]である,6,91,5,6,Cluster  6
本品は[ActIngreName]と水との付加重合体でＨＯＣＨ[Number]（ＣＨ[Number]ＯＨ[Number]）ｎＣＨ[Number]ＯＨで表されｎが[Number]及び[Number]の等量混合物である,6,91,1,6,Cluster  6
本品は[ActIngreName]の[Form]で乾燥したものは定量するとき[ActIngreName][Number][Unit]以上を含む,87,85,5,6,Cluster  6
本品は[ActIngreName]の[Form]で乾燥したものは定量するとき[ActIngreName]（[Formula]：[Number]）[Number][Unit]を含む,87,85,1,6,Cluster  6
本品は[ActIngreName]を[ActIngreName]でけん化したもので脂肪酸として[Number][Unit]以上を含む,39,89,1,6,Cluster  6
本品は[ActIngreName]を高圧蒸気法により滅菌したものである,39,89,1,6,Cluster  6
本品は[ActIngreName]製剤で[ActIngreName]（[Formula]）[Number][Unit]を含む,80,90,1,6,Cluster  6
本品は[ActIngreName]（[Formula]）[Number][Unit],80,90,1,6,Cluster  6
本品は[ActIngreName]（[Formula]）[Number][Unit]を含む,80,90,10,6,Cluster  6
本品は[ActIngreName]（[Formula]）[Number][Unit]を含有する,80,90,2,6,Cluster  6
本品は[ActIngreName]（[Formula]）[Number][Unit]以上を含む,80,90,5,6,Cluster  6
本品は[ActIngreName]（[Formula]：[Number]）[Number][Unit]を含む,80,90,2,6,Cluster  6
本品は[ActIngreName]（[Formula]：[Number]）[Number][Unit]を含有する,27,87,1,6,Cluster  6
本品は[ActIngreName]（[Formula]：[Number]）[Number][Unit]以上を含む,80,90,2,6,Cluster  6
本品は[ActIngreName]（Ｃ[Number]Ｈ[Number][Unit][Number]ＯＣ[Number]Ｈ[Number]Ｏ[Number]Ｈ[Number]Ｏ）[Number][Unit]を含む,39,89,1,6,Cluster  6
本品は[ActIngreName]ＭｅｎｔｈａａｒｖｅｎｓｉｓＬｉｎｎｅ’ｖａｒ．ｐｉｐｅｒａｓｃｅｎｓＭａｌｉｎｖａｕｄ（Ｌａｂｉａｔａｅ）の地上部を水蒸気蒸留して得た[Form]を冷却し固形分を除去した[Form]である本品は定量するとき[ActIngreName]（[Formula]：[Number]）として[Number][Unit]以上を含む,67,84,1,6,Cluster  6
本品は[ActIngreName]ＳｅｓａｍｕｍｉｎｄｉｃｕｍＬｉｎｎｅ（Ｐｅｄａｌｉａｃｅａｅ）の種子から得た[Form]である,74,92,1,6,Cluster  6
本品は[BrandName]の[Form]で乾燥したものは定量するとき[BrandName][Number][Unit]以上を含む,87,85,1,6,Cluster  6
本品は[BrandName]の原薬である,74,92,4,6,Cluster  6
本品は[BrandName]水和物の[Form]で乾燥したものは定量するとき[BrandName]水和物[Number][Unit]以上を含む,87,85,1,6,Cluster  6
本品は[Number][Unit]で[ActIngreName]（[Formula]）[Number][Unit]を含む,80,90,2,6,Cluster  6
本品は[Number][Unit]で[ActIngreName]（[Formula]）[Number][Unit]を含む（比重による）,80,90,8,6,Cluster  6
本品は[Number][Unit]で[ActIngreName]（[Formula]）[Number][Unit]以上を含む,80,90,1,6,Cluster  6
本品は[Number][Unit]で[ActIngreName]（[Formula]：[Number]）[Number][Unit]を含む,80,90,1,6,Cluster  6
本品は[Number][Unit]で[ActIngreName]（[Formula]：[Number]）[Number][Unit]を含む（比重による）,80,90,9,6,Cluster  6
本品は[Number][Unit]で[ActIngreName]（[Formula]：[Number]）[Number][Unit]以上を含む（比重による）,80,90,2,6,Cluster  6
本品は[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName]適量を含む,32,88,1,6,Cluster  6
本品は[Number][Unit]中[ActIngreName][Number][Unit]を含む[Form]である,32,88,1,6,Cluster  6
本品は[Number][Unit]中[ActIngreName][Number][Unit]を含有する,32,88,1,6,Cluster  6
本品は[Number][Unit]中[ActIngreName][Number][Unit]含有（[ActIngreName]（[Formula]：[Number]）[Number][Unit]含有）,27,87,1,6,Cluster  6
本品は[Number][Unit]中に[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含有する,32,88,1,6,Cluster  6
本品は[Number][Unit]中に[ActIngreName][Number][Unit]を含む,32,88,2,6,Cluster  6
本品は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する,32,88,3,6,Cluster  6
本品は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する[Color]の凍結乾燥品である,32,88,2,6,Cluster  6
本品は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する[Form]である,32,88,2,6,Cluster  6
本品は[Number][Unit]中に[ActIngreName]（[Formula]：[Number]）[Number][Unit][ActIngreName]適量を含む,27,87,1,6,Cluster  6
本品は[Number][Unit]当たり[ActIngreName][Number][Unit][ActIngreName][Number][Unit]及び[ActIngreName][Number][Unit]をとり[Number][Unit][ActIngreName]で浸出して製した[Form]の製剤である,39,89,1,6,Cluster  6
本品は[Number][Unit]当たり[ActIngreName][Number][Unit]をほとんど飽和させた[Color]な[Form]である,39,89,1,6,Cluster  6
本品は「[ActIngreName]」にその[Number][Unit]に相当する[ActIngreName]を加えて[Form]にしたものである（[ActIngreName][Number][Unit]以上含有）,39,89,1,6,Cluster  6
本品は「[ActIngreName]」の[Form]である,74,92,3,6,Cluster  6
本品は「[ActIngreName]」の[Form]である<<BR>>[Number][Unit]中[ActIngreName][Number][Unit]<<BR>>[ActIngreName]適量,32,88,1,6,Cluster  6
本品はイオン交換により精製した水である,73,86,1,6,Cluster  6
本品はイオン交換及び超ろ過の組み合わせにより精製した水である,73,86,1,6,Cluster  6
本品はイオン交換及び超ろ過を組み合わせて精製した水である,73,86,1,6,Cluster  6
本品はイオン交換樹脂を通した水を更に限外ろ過法により精製した水である,73,86,1,6,Cluster  6
本品はイオン交換法により精製しＲＯ膜ＵＦ膜を通した水で除菌ろ過はしているが加熱滅菌はしていない,73,86,1,6,Cluster  6
本品はイオン交換超ろ過により精製した水を滅菌したものである,73,86,1,6,Cluster  6
本品はオリーブの果実を圧搾して得た[Form]である,74,92,1,6,Cluster  6
本品はジャガイモの塊茎から得たでんぷんである,74,92,1,6,Cluster  6
本品はダイズＧｌｙｃｉｎｅｍａｘＭｅｒｒｉｌｌ（Ｌｅｇｕｍｉｎｏｓａｅ）の種子から得た[Form]である,74,92,1,6,Cluster  6
本品はトウ[ActIngreName]ＲｉｃｉｎｕｓｃｏｍｍｕｎｉｓＬｉｎｎｅ’（Ｅｕｐｈｏｒｂｉａｃｅａｅ）の種子を圧搾して得た[Form]である,74,92,2,6,Cluster  6
本品はトウ[ActIngreName]ＲｉｃｉｎｕｓｃｏｍｍｕｎｉｓＬｉｎｎｅ（Ｅｕｐｈｏｒｂｉａｃｅａｅ）の種子を圧搾して得た[Form]である,74,92,1,6,Cluster  6
本品はトウモロコシＺｅａｍａｙｓＬｉｎｎｅ（Ｇｒａｍｉｎｅａｅ）の種子から得たでんぷんである,74,92,1,6,Cluster  6
本品はヒツジＯｖｉｓａｒｉｅｓＬｉｎｎｅ（Ｂｏｖｉｄａｅ）の毛から得た脂肪よう物質を精製したものである,74,92,1,6,Cluster  6
本品はヨーロッパミツバチ又はトウヨウミツバチがその巣に集めた[Taste]物を採取したものである,74,92,1,6,Cluster  6
本品は天然の[ActIngreName]でときに少量の[ActIngreName]を含む,39,89,2,6,Cluster  6
本品は天然の含水ケイ酸マクネシウムでときに少量の[ActIngreName]を含む,39,89,1,6,Cluster  6
本品は定量するとき[ActIngreName][Number][Unit]を含む,39,89,2,6,Cluster  6
本品は定量するとき[ActIngreName]（[Formula]）[Number][Unit]を含む,67,84,9,6,Cluster  6
本品は定量するとき[ActIngreName]（[Formula]）[Number][Unit]以上を含む,67,84,8,6,Cluster  6
本品は定量するとき[ActIngreName]（[Formula]：[Number]）[Number][Unit]を含む,67,84,11,6,Cluster  6
本品は定量するとき[ActIngreName]（[Formula]：[Number]）[Number][Unit]を含む<<BR>>[Number][Unit]中<<BR>>[ActIngreName][Number][Unit]<<BR>>[ActIngreName]適量,67,84,1,6,Cluster  6
本品は定量するとき[ActIngreName]（[Formula]：[Number]）[Number][Unit]を含む<<BR>>[Number][Unit]中[ActIngreName][Number][Unit],67,84,1,6,Cluster  6
本品は定量するとき[ActIngreName]（[Formula]：[Number]）[Number][Unit]以上を含む,67,84,2,6,Cluster  6
本品は定量するとき[ActIngreName]（[Formula]：[Number]）[Number][Unit]以上を含む<<BR>>（本品は[ActIngreName]にその[Number][Unit]に相当する[ActIngreName]を加えて[Form]にしたものである）,87,85,1,6,Cluster  6
本品は定量するとき[ActIngreName]（[Formula]：[Number]）[Number][Unit]（本品[Number][Unit]中に[ActIngreName][Number][Unit],67,84,1,6,Cluster  6
本品は定量するとき[ActIngreName]（[Formula]：[Number]）[Number][Unit]（本品[Number][Unit]中に[ActIngreName][Number][Unit][ActIngreName]適量）を含む,67,84,1,6,Cluster  6
本品は定量するとき[ActIngreName]（[Formula]：[Number]）として[Number][Unit]を含む,67,84,1,6,Cluster  6
本品は定量するとき[ActIngreName]（[Formula]：[Number]）として[Number][Unit]以上を含む,67,84,1,6,Cluster  6
本品は定量するとき[ActIngreName]（Ｉ：[Number]）[Number][Unit]及び[ActIngreName]（[Formula]：[Number]）[Number][Unit]を含む[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][Number][Unit][ActIngreName],67,84,2,6,Cluster  6
本品は定量するとき[BrandName]（[Formula]）[Number][Unit]を含む,67,84,2,6,Cluster  6
本品は定量するとき[Number]超[Number][Unit]の[ActIngreName]（Ｃ[Number]Ｈ[Number]ＣｌＮとして）を含む,67,84,1,6,Cluster  6
本品は定量するとき換算した[ActIngreName]に対し[ActIngreName]（[Formula]）[Number][Unit]を含む,67,84,2,6,Cluster  6
本品は定量するとき換算した[ActIngreName]に対し[ActIngreName]（[Formula]：[Number]）[Number][Unit][Number][Unit]を含む,67,84,1,6,Cluster  6
本品は定量するとき換算した[ActIngreName]に対し[ActIngreName]（[Formula]：[Number]）[Number][Unit]を含む,67,84,1,6,Cluster  6
本品は定量するとき換算した乾燥物に対し[ActIngreName]（[Formula]）[Number][Unit]を含む,67,84,2,6,Cluster  6
本品は定量するとき総[ActIngreName]〔[ActIngreName]（[Formula]：[Number]）及び[ActIngreName]（[Formula]：[Number]）〕[Number][Unit]を含む<<BR>>[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit],67,84,1,6,Cluster  6
本品は常水をイオン交換により精製した水である,73,86,1,6,Cluster  6
本品は常水をイオン交換超ろ過により精製した水である,73,86,1,6,Cluster  6
本品は総[ActIngreName]（[ActIngreName]及び[ActIngreName]）[Number][Unit]以上を含む,39,89,1,6,Cluster  6
本品はＣ[Number]Ｃ[Number]までの飽和脂肪酸の[ActIngreName]の混合物である,6,91,3,6,Cluster  6
本品はＯｌｅａｅｕｒｏｐａｅａＬｉｎｎｅ’（Ｏｌｅａｃｅａｅ）の果実を圧搾して得た[Form]である,74,92,1,6,Cluster  6
本品はＯｌｅａｅｕｒｏｐａｅａＬｉｎｎｅ（Ｏｌｅａｃｅａｅ）の果実を圧搾して得た[Form]である,74,92,2,6,Cluster  6
本品はＯｌｅａｅｕｒｏｐａｅａＬｉｎｎｅ（Ｏｌｅａｃｅａｅ）の果実を圧縮して得た[Form]である,74,92,1,6,Cluster  6
本品を乾燥したものは定量するとき[ActIngreName]（[Formula]）[Number][Unit]以上を含む,87,85,7,6,Cluster  6
本品を乾燥したものは定量するとき[ActIngreName]（[Formula]：[Number]）[Number][Unit]を含む,87,85,2,6,Cluster  6
本品を乾燥したものは定量するとき[ActIngreName]（[Formula]：[Number]）[Number][Unit]以上を含む,87,85,3,6,Cluster  6
本品を乾燥したものは定量するとき[ActIngreName]（Ｓ）[Number][Unit]以上を含む,87,85,1,6,Cluster  6
本品を乾燥したものは定量するとき[BrandName]（[Formula]）を[Number][Unit]以上含む[Number]）,87,85,1,6,Cluster  6
本品を乾燥したものは定量するとき[BrandName]（[Formula]：[Number]）[Number][Unit]以上を含む,87,85,2,6,Cluster  6
本品を乾燥したものを定量するとき[ActIngreName]（[Formula]）[Number][Unit]以上を含む,87,85,1,6,Cluster  6
本品を強熱したものは定量するとき[ActIngreName]（[Formula]）[Number][Unit]以上を含む,87,85,2,6,Cluster  6
本品を強熱したものは定量するとき[ActIngreName]（[Formula]）[Number][Unit]以上を含む<<BR>>（本品の[Number][Unit]の容積が[Number][Unit]以下のものは別名として[ActIngreName]と表示することができる）,87,85,1,6,Cluster  6
本品を強熱したものは定量するとき[ActIngreName]（[Formula]：[Number]）[Number][Unit]以上を含む,87,85,1,6,Cluster  6
組成<BR>本品[Number][Unit]中[ActIngreName][Number][Unit]含有,32,88,8,6,Cluster  6
組成<BR>本品は[ActIngreName]の[Form]で定量するとき換算した乾燥物に対し[ActIngreName][Number][Unit]以上を含む,87,85,1,6,Cluster  6
組成<BR>本品は[Number][Unit]中[ActIngreName][Number][Unit]含有（[ActIngreName]（[Formula]）[Number][Unit]含有）,27,87,1,6,Cluster  6
組成<BR>本品はイオン交換法により精製した水を高温処理したものです,73,86,1,6,Cluster  6
組成性状<BR>本品は[Number][Unit]で[ActIngreName]（[Formula]：[Number]）を[Number][Unit]を含む（比重による）本品は[Color]の液で[Smell]及び[Taste]がある本品は水と混和する本品は点火するとき淡[Color]の炎をあげて燃える本品は揮発性である,80,90,1,6,Cluster  6
組成性状<BR>本品はイオン交換樹脂を通して精製した水でにおい及び味のない[Color]の液である,73,86,1,6,Cluster  6
組成<BR>本剤はアカマツ花粉を原料とし[Number][Unit][ActIngreName]で抽出して得たアレルゲンを含む液（[Number]：[Number]）をさらに[Number][Unit][ActIngreName]で表示濃度に希釈したものである（[Number]：[Number]）：[Number][Unit][ActIngreName]［[ActIngreName][Number][Unit]（Ｗ／Ｗ）[ActIngreName][Number][Unit]（Ｗ／Ｗ）］,81,94,3,8,Cluster  8
組成<BR>本剤はハウスダスト（室内塵）から抽出し透析法により得た特異的アレルゲンを含む無菌生理[ActIngreName][Form]で無菌操作法にて調製された原料重量に対する[Number][Unit]液（[Number]：[Number]）である,12,93,3,8,Cluster  8
組成<BR>本剤はブタクサ花粉を原料とし[Number][Unit][ActIngreName]で抽出して得たアレルゲンを含む液（[Number]：[Number]）をさらに[Number][Unit][ActIngreName]で表示濃度に希釈したものである（[Number]：[Number]）：[Number][Unit][ActIngreName]［[ActIngreName][Number][Unit]（Ｗ／Ｗ）[ActIngreName][Number][Unit]（Ｗ／Ｗ）］,81,94,3,8,Cluster  8
組成<BR>本剤はホウレン草花粉を原料とし[Number][Unit][ActIngreName]で抽出して得たアレルゲンを含む液（[Number]：[Number]）をさらに[Number][Unit][ActIngreName]で表示濃度に希釈したものである（[Number]：[Number]）：[Number][Unit][ActIngreName]［[ActIngreName][Number][Unit]（Ｗ／Ｗ）[ActIngreName][Number][Unit]（Ｗ／Ｗ）］,81,94,1,8,Cluster  8
組成<BR>本剤は原料（アサ布）から抽出し透析法により得た特異的アレルゲンを含む無菌生理[ActIngreName][Form]で無菌操作法により調製し原料重量に対して[Number][Unit]液（[Number]：[Number]）である,12,93,1,8,Cluster  8
組成<BR>本剤は原料（アジ）から抽出し透析法により得た特異的アレルゲンを含む無菌生理[ActIngreName][Form]で無菌操作法により調製し原料重量に対して[Number][Unit]液（[Number]：[Number]）である,12,93,1,8,Cluster  8
