Pattern,ClusterNumber1,,Count,Cluster_number.Record.,paste..Cluster....Cluster_number.Record..
本剤は[Kampo]の[Form]に賦形剤（[ActIngreName]）を加えて製したものである本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,4,2,Cluster  2
本剤は[Kampo]の[Form]に賦形剤（[ActIngreName]）を加えて製したものである本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,4,2,Cluster  2
本剤は[Kampo]の[Form]に賦形剤（[ActIngreName]）を加えて製したものである本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,3,2,Cluster  2
本剤は[Kampo]の[Form]に賦形剤（[ActIngreName]）を加えて製したものである本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,10,2,Cluster  2
本剤は[Kampo]の[Form]に賦形剤（[ActIngreName]）を加えて製したものである本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,7,2,Cluster  2
本剤は[Kampo]の[Form]に賦形剤（[ActIngreName]）を加えて製したものである本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,6,2,Cluster  2
本剤は[Kampo]の[Form]に賦形剤（[ActIngreName]）を加えて製したものである本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,3,2,Cluster  2
本剤は[Kampo]の[Form]に賦形剤（[ActIngreName]）を加えて製したものである本剤[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より抽出した[Kampo]の[Form][Number][Unit]を含有する,8,16,1,2,Cluster  2
本剤は[Number][Unit][Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記生薬より抽出した[Form]（[Kampo][Form]）[Number][Unit]及び[ActIngreName][Number][Unit]を含有する,15,17,1,2,Cluster  2
本剤は[Number][Unit][Number][Unit]中下記の生薬[Form]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,1,2,Cluster  2
本剤は[Number][Unit][Number][Unit]中下記生薬より抽出した[Form]（[Kampo][Form]）[Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,3,2,Cluster  2
本剤は[Number][Unit][Number][Unit]中下記生薬より抽出した[Form]（[Kampo][Form]）[Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,4,2,Cluster  2
本剤は[Number][Unit][Number][Unit]中下記生薬より抽出した[Form]（[Kampo][Form]）[Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,12,2,Cluster  2
本剤は[Number][Unit][Number][Unit]中下記生薬より抽出した[Form]（[Kampo][Form]）[Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,13,2,Cluster  2
本剤は[Number][Unit][Number][Unit]中下記生薬より抽出した[Form]（[Kampo][Form]）[Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,12,2,Cluster  2
本剤は[Number][Unit][Number][Unit]中下記生薬より抽出した[Form]（[Kampo][Form]）[Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,17,2,Cluster  2
本剤は[Number][Unit][Number][Unit]中下記生薬より抽出した[Form]（[Kampo][Form]）[Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,11,2,Cluster  2
本剤は[Number][Unit][Number][Unit]中下記生薬より抽出した[Form]（[Kampo][Form]）[Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,8,2,Cluster  2
本剤は[Number][Unit][Number][Unit]中下記生薬より抽出した[Form]（[Kampo][Form]）[Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,7,2,Cluster  2
本剤は[Number][Unit][Number][Unit]中下記生薬より抽出した[Form]（[Kampo][Form]）[Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,2,2,Cluster  2
本剤は[Number][Unit][Number][Unit]中下記生薬より抽出した[Form]（[Kampo][Form]）[Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,3,2,Cluster  2
本剤は[Number][Unit][Number][Unit]中下記生薬より抽出した[Form]（[Kampo][Form]）[Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,1,2,Cluster  2
本剤は[Number][Unit][Number][Unit]中下記生薬より抽出した[Form]（[Kampo][Form]）[Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,1,2,Cluster  2
本剤は[Number][Unit][Number][Unit]中下記生薬より抽出した[Form]（[Kampo][Form]）[Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,2,2,Cluster  2
本剤は[Number][Unit][Number][Unit]中下記生薬より抽出した[Form]（[Kampo][Form]）[Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],15,17,1,2,Cluster  2
本剤は[Number][Unit][Number][Unit]（または[Number][Unit]）中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記生薬より抽出した[Form]（[Kampo][Form]）[Number][Unit][ActIngreName][Number][Unit]を含有する,15,17,1,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より製した[Form][Number][Unit]を含有する,3,18,1,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記生薬より抽出した[Form][Number][Unit]を含有する,19,21,1,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より製した[Form][Number][Unit]を含有する,3,18,2,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記生薬より抽出した[Form][Number][Unit]を含有する,19,21,2,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より製した[Form][Number][Unit]を含有する,3,18,1,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記生薬より抽出した[Form][Number][Unit]を含有する,19,21,1,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記生薬より抽出した[Form][Number][Unit]を含有する,19,21,1,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][Kampo][Form][Number][Unit]を含有する,5,20,1,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より製した[Form][Number][Unit]を含有する,3,18,1,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記生薬より抽出した[Form]製乾操[Form][Number][Unit]を含有する,19,21,1,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より製した[Form][Number][Unit]を含有する,3,18,4,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記生薬より抽出した[Form][Number][Unit]を含有する,19,21,7,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より製した[Form][Number][Unit]を含有する,3,18,2,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記生薬より抽出した[Form][Number][Unit]を含有する,19,21,5,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][Kampo][Form][Number][Unit]を含有する,5,20,1,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より製した[Form][Number][Unit]を含有する,3,18,5,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記生薬より抽出した[Form][Number][Unit]を含有する,19,21,2,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の分量で混合した生薬の[Form]（[Kampo][Form]－ＡＴ）[Number][Unit]を含有する,3,18,1,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より製した[Form][Number][Unit]を含有する,3,18,7,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記生薬より抽出した[Form][Number][Unit]を含有する,19,21,4,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の分量で混合した生薬の[Form]（[Kampo][Form]－ＡＴ）[Number][Unit]を含有する,3,18,1,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より製した[Form][Number][Unit]を含有する,3,18,5,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記生薬より抽出した[Form][Number][Unit]を含有する,19,21,4,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][Kampo][Form][Number][Unit]を含有する,5,20,1,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より製した[Form][Number][Unit]を含有する,3,18,10,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記生薬より抽出した[Form][Number][Unit]を含有する,19,21,4,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より製した[Form][Number][Unit]を含有する,3,18,5,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記生薬より抽出した[Form][Number][Unit]を含有する,19,21,5,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より製した[Form][Number][Unit]を含有する,3,18,3,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記生薬より抽出した[Form][Number][Unit]を含有する,19,21,1,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit]上記の混合生薬より製した[Form][Number][Unit]を含有する,3,18,1,2,Cluster  2
本品[Number][Unit]中[ActIngreName][Number][Unit]を含有する[ActIngreName]はオタネ[ActIngreName]ＰａｎａｘｇｉｎｓｅｎｇＣ．Ａ．Ｍｅｙｅｒ（ＰａｎａｘｓｃｈｉｎｓｅｎｇＮｅｅｓ）（Ａｒａｌｉａｃｅａｅ）の根を蒸したものである,5,20,2,2,Cluster  2
本品[Number][Unit]中[Form][Number][Unit]（[ActIngreName][Number][Unit]）（[Form][Number][Unit]）（[ActIngreName][Number][Unit]）（[ActIngreName][Number][Unit]）[ActIngreName][Number][Unit]を含有する,5,20,1,2,Cluster  2
本品[Number][Unit]中下記の割合の混合生薬の[Form][Number][Unit]と[ActIngreName][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],21,19,1,2,Cluster  2
本品[Number][Unit]中下記の割合の混合生薬の[Form][Number][Unit]と[ActIngreName][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],21,19,1,2,Cluster  2
本品[Number][Unit]中下記の割合の混合生薬の[Form][Number][Unit]と[ActIngreName][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],21,19,1,2,Cluster  2
本品[Number][Unit]中下記の割合の混合生薬の[Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit],21,19,3,2,Cluster  2
本品[Number][Unit]中下記の割合の混合生薬の[Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],21,19,7,2,Cluster  2
本品[Number][Unit]中下記の割合の混合生薬の[Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],21,19,11,2,Cluster  2
本品[Number][Unit]中下記の割合の混合生薬の[Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],21,19,17,2,Cluster  2
本品[Number][Unit]中下記の割合の混合生薬の[Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],21,19,15,2,Cluster  2
本品[Number][Unit]中下記の割合の混合生薬の[Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],21,19,15,2,Cluster  2
本品[Number][Unit]中下記の割合の混合生薬の[Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],21,19,5,2,Cluster  2
本品[Number][Unit]中下記の割合の混合生薬の[Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],21,19,16,2,Cluster  2
本品[Number][Unit]中下記の割合の混合生薬の[Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],21,19,12,2,Cluster  2
本品[Number][Unit]中下記の割合の混合生薬の[Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],21,19,3,2,Cluster  2
本品[Number][Unit]中下記の割合の混合生薬の[Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],21,19,9,2,Cluster  2
本品[Number][Unit]中下記の割合の混合生薬の[Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],21,19,3,2,Cluster  2
本品[Number][Unit]中下記の割合の混合生薬の[Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],21,19,1,2,Cluster  2
本品[Number][Unit]中下記の割合の混合生薬の[Form][Number][Unit]を含有する[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],21,19,2,2,Cluster  2
